Symbol,CompanyName,DpmName
ASTS,AST SPACEMOBILE INC COM CL A,Belvedere Trading LLC
ASUR,ASURE SOFTWARE INC COM,"Wolverine Trading, LLC"
ASX,ASE TECHNOLOGY HLDG CO LTD SPONSORED ADS,"Group One Trading, L.P."
ASXC,ASENSUS SURGICAL INC COM,"Susquehanna Securities, LLC"
ASYS,AMTECH SYS INC COM PAR $0.01N,"Susquehanna Securities, LLC"
ATAI,ATAI LIFE SCIENCES NV SHS,Citadel Securities LLC
ATAX,AMERICA FIRST MULTIFAMILY INVS BEN UNIT CTF,
ATCO,ATLAS CORP SHARES,Morgan Stanley & Co. LLC
ATCX,ATLAS TECHNICAL CONSULTANTS IN COM CLS A,
ATEC,ALPHATEC HLDGS INC COM NEW,"Group One Trading, L.P."
ATEN,A10 NETWORKS INC COM,Citadel Securities LLC
ATER,ATERIAN INC COM,"Susquehanna Securities, LLC"
ATEX,ANTERIX INC COM,Belvedere Trading LLC
ATGE,ADTALEM GLOBAL ED INC COM,"Two Sigma Securities, LLC"
ATH,ATHENE HOLDING LTD CL A,"Susquehanna Securities, LLC"
ATHA,ATHIRA PHARMA INC COM,
ATHM,AUTOHOME INC SP ADS RP CL A,"Wolverine Trading, LLC"
ATHX,ATHERSYS INC NEW COM,"Group One Trading, L.P."
ATI,ALLEGHENY TECHNOLOGIES INC COM,Citadel Securities LLC
ATIP,ATI PHYSICAL THERAPY INC COM CL A,"Group One Trading, L.P."
ATKR,ATKORE INC COM,"Wolverine Trading, LLC"
ATLC,ATLANTICUS HOLDINGS CORP COM,"Susquehanna Securities, LLC"
